timestamp,algo,device,max_side,content,style,params,time_ms,ssim_content,ssim_style
2025-09-21T17:02:00.291136,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,steps=400,25504.54,,
2025-09-21T17:02:11.600818,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11182.01,,
2025-09-21T17:02:37.255201,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25135.90,,
2025-09-21T17:02:48.622822,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11248.17,,
2025-09-21T17:03:14.379972,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,steps=400,25261.54,,
2025-09-21T17:03:25.784187,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11312.52,,
2025-09-21T17:03:51.595289,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,steps=400,25294.12,,
2025-09-21T17:04:03.082495,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11308.03,,
2025-09-21T17:04:28.874666,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,steps=400,25264.27,,
2025-09-21T17:04:40.233021,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11281.08,,
2025-09-21T17:05:06.162983,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,steps=400,25313.69,,
2025-09-21T17:05:17.522076,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11279.05,,
